Fecha,Familia_canacero,Vol. Ventas (ton)
2020-03,01.01 PLACA DE ROLLO,12502
2020-03,01.02 PLACA DE HOJA,1862
2020-03,02.01 LAMINA EN CALIENTE,9435
2020-03,03.01 LAMINA EN FRIO,1149
2020-03,04.01 LAMINA GALVANIZADA,204
2020-03,05.01 PERFILES ESTRUCTURALES,11395
2020-03,06.01 PERFILES COMERCIALES,4653
2020-04,05.01 PERFILES ESTRUCTURALES,6212
2020-04,06.01 PERFILES COMERCIALES,2850
2020-04,04.01 LAMINA GALVANIZADA,109
2020-04,03.01 LAMINA EN FRIO,836
2020-04,02.01 LAMINA EN CALIENTE,5551
2020-04,01.02 PLACA DE HOJA,1027
2020-04,01.01 PLACA DE ROLLO,6520
2020-05,01.01 PLACA DE ROLLO,7263
2020-05,01.02 PLACA DE HOJA,885
2020-05,02.01 LAMINA EN CALIENTE,7065
2020-05,03.01 LAMINA EN FRIO,952
2020-05,04.01 LAMINA GALVANIZADA,152
2020-05,05.01 PERFILES ESTRUCTURALES,5749
2020-05,06.01 PERFILES COMERCIALES,3199
2020-06,04.01 LAMINA GALVANIZADA,197
2020-06,03.01 LAMINA EN FRIO,926
2020-06,05.01 PERFILES ESTRUCTURALES,7886
2020-06,01.02 PLACA DE HOJA,1270
2020-06,01.01 PLACA DE ROLLO,8302
2020-06,02.01 LAMINA EN CALIENTE,8797
2020-06,06.01 PERFILES COMERCIALES,3992
2020-07,06.01 PERFILES COMERCIALES,4552
2020-07,04.01 LAMINA GALVANIZADA,204
2020-07,03.01 LAMINA EN FRIO,1316
2020-07,05.01 PERFILES ESTRUCTURALES,8186
2020-07,01.02 PLACA DE HOJA,1558
2020-07,02.01 LAMINA EN CALIENTE,10794
2020-07,01.01 PLACA DE ROLLO,9700
2020-08,01.01 PLACA DE ROLLO,11649
2020-08,01.02 PLACA DE HOJA,1830
2020-08,02.01 LAMINA EN CALIENTE,12056
2020-08,03.01 LAMINA EN FRIO,1404
2020-08,04.01 LAMINA GALVANIZADA,367
2020-08,05.01 PERFILES ESTRUCTURALES,9272
2020-08,06.01 PERFILES COMERCIALES,4782
2020-09,05.01 PERFILES ESTRUCTURALES,11055
2020-09,04.01 LAMINA GALVANIZADA,633
2020-09,03.01 LAMINA EN FRIO,1195
2020-09,06.01 PERFILES COMERCIALES,5057
2020-09,01.02 PLACA DE HOJA,3036
2020-09,01.01 PLACA DE ROLLO,9832
2020-09,02.01 LAMINA EN CALIENTE,11921
2020-10,05.01 PERFILES ESTRUCTURALES,12441
2020-10,04.01 LAMINA GALVANIZADA,271
2020-10,03.01 LAMINA EN FRIO,1812
2020-10,06.01 PERFILES COMERCIALES,5224
2020-10,01.02 PLACA DE HOJA,2557
2020-10,01.01 PLACA DE ROLLO,11050
2020-10,02.01 LAMINA EN CALIENTE,12930
2020-11,01.01 PLACA DE ROLLO,10439
2020-11,01.02 PLACA DE HOJA,2437
2020-11,02.01 LAMINA EN CALIENTE,9828
2020-11,03.01 LAMINA EN FRIO,1799
2020-11,04.01 LAMINA GALVANIZADA,197
2020-11,05.01 PERFILES ESTRUCTURALES,9720
2020-11,06.01 PERFILES COMERCIALES,4454
2020-12,04.01 LAMINA GALVANIZADA,285
2020-12,06.01 PERFILES COMERCIALES,5562
2020-12,03.01 LAMINA EN FRIO,1558
2020-12,05.01 PERFILES ESTRUCTURALES,10763
2020-12,01.02 PLACA DE HOJA,2296
