,Periodo,Total,Edificación,"Agua, riego y saneamiento",Electricidad y comunicaciones,Transporte,Petróleo y petroquímica,Otras construcciones,Año
104,Septiembre,-0.6,-0.8,5.6,4.9,-4.9,24.6,0,2020
105,Octubre,2.2,2.3,-0.1,-7.5,7.5,-24.1,4.3,2020
106,Noviembre,-2.7,1.8,-2.3,2.5,-9.9,-7,0.3,2020
107,Diciembre,0,0.7,-6.2,-20.7,-2,16.2,2.2,2020
108,Enero,-1.1,-5.3,8.3,13.2,-4.5,14.8,1.1,2021
109,Febrero,2.8,0.3,13.7,1,4,17.4,3.3,2021
110,Marzo,2.3,0.2,-5.4,-6.1,11.3,9,2.3,2021
111,Abril,0.7,0.8,18.3,-5.8,-7.8,19.3,-2.9,2021
112,Mayo,-2.9,-4.4,-16.1,0.2,2.1,3.8,-3.5,2021
113,Junio,-6.2,-3.9,4,-7.5,-15.6,4.5,-4.3,2021
114,Julio,6.1,1.9,-0.9,-0.2,15.4,8.8,0.2,2021
115,Agosto,2.2,3.4,-3.1,-9,0.4,2,2.6,2021
116,Septiembre,0.4,-1,-2.1,-16.2,5.4,-3.8,4,2021
117,Octubre,0.2,0.7,-3.1,10.4,-4.5,10.8,-3.8,2021
118,Noviembre,-1.2,-0.4,-1.4,-16.2,-1.4,15.6,-6.6,2021
119,Diciembre,-1.2,0.9,10.9,8.5,-9.4,-2.6,1.7,2021
120,Enero,5.1,6.7,3.6,-4.1,10.1,-13.9,11.5,2022
121,Febrero,-0.9,5.9,-9,1.4,-12.9,2.1,2,2022
122,Marzo,2.2,2.7,14,16.2,7,-3.1,0.7,2022
123,Abril,0.1,-2.4,-10.7,11.5,-12.9,18.1,4.7,2022
124,Mayo,-1.4,-1.5,17.5,9.9,-5.2,-1.5,0.1,2022
125,Junio,-3.2,-2.3,2.7,-0.9,-5.9,-2.2,-3.4,2022
126,Julio,2,-2.9,8.8,-8.5,5.5,8.7,-1.6,2022
127,Agosto,-3.3,0.3,-4.5,-1.7,-1.8,1.8,-11.3,2022
128,Septiembre,2.2,-0.2,-12,1.4,1.5,16.4,4.3,2022
129,Octubre,0,1.7,24.8,3.2,-20.1,4.4,1.8,2022
130,Noviembre,4.4,0,4,20.4,29.2,4.1,-2,2022
131,Diciembre,1.1,0.5,0.9,2.6,-0.7,-6.3,8.1,2022
132,Enero,0.9,7,4.5,7.4,-4.9,-2.5,-0.5,2023
133,Febrero,-0.3,-3.3,6,3.8,17.1,-3.4,-6.3,2023
134,Marzo,5.3,0.8,34.1,-7.7,10.3,1.8,7.6,2023
135,Abril,5.8,0.1,2.2,27.6,22.5,-7.8,-0.9,2023
136,Mayo,8.7,3.5,-4.9,16.5,24.9,5.5,2.3,2023
137,Junio,5.3,2.6,-11.9,5.2,11.5,1.5,2.1,2023
138,Julio,7.3,-0.3,-3.3,6.9,22.6,-4.5,9.9,2023
139,Agosto,3.4,6.6,12.1,4.1,3.4,-5.5,-2.1,2023
140,Septiembre,2,1.2,9.2,8.4,4.6,3.1,2.8,2023
141,Octubre,-1.4,0.6,-13.9,-6.4,-11.2,5,0.8,2023
142,Noviembre,-1.1,1.9,4.8,-1.9,0.8,-5.6,-0.8,2023
143,Diciembre,-2.8,0,1.8,-5.5,-4.2,1.2,-2.8,2023
144,Enero,-7.5,-4.8,-3.7,-10.4,-16.3,12.8,-8,2024
145,Febrero,-3.3,-2.1,-16.1,7.9,-6.7,-5.6,2.1,2024
146,Marzo,-1.4,0.1,17.1,0.8,-6.7,2.2,-4.8,2024
147,Abril,-0.6,3.2,0.9,-10.4,-0.5,-11.5,1.2,2024
148,Mayo,0.1,1.3,7.3,1.6,-7.6,5.5,-1.8,2024
149,Junio,3.3,1.2,9.7,1.7,5.5,-0.5,3.4,2024
150,Julio,-1.8,2.4,-2.3,8.3,-8.4,-3.2,-6.2,2024
151,Agosto,-2.2,1.2,-4.8,-1.7,-9.3,0.5,3.4,2024
152,Septiembre,-5.6,-0.8,1.3,1.8,-15.8,-3.6,-2.6,2024
153,Octubre,-1.3,-2.3,-8.3,-2.2,4.9,-18.1,0.7,2024
154,Noviembre,-3.5,-3.1,-0.6,-0.5,-7.6,-6,5.1,2024
155,Diciembre,-0.4,-0.2,-2.7,4.3,0,4.4,-6,2024
156,Enero,-4.2,-1.5,-16.2,16,-14.3,-7.8,3.9,2025
