Año,Mes,País,Producto,Exportacion
2024,Mayo,Honduras,Laminados,10.26937583
2024,Mayo,México,Largos,76.71037312379
2024,Mayo,México,Planos,137.82278658982
2024,Mayo,México,Tubos Sin Costura,58.26306765168
2024,Mayo,México,Laminados,272.79622736529
2024,Mayo,Panamá,Largos,0.471086
2024,Mayo,Panamá,Planos,0.179103
2024,Mayo,Panamá,Tubos Sin Costura,0.00297
2024,Mayo,Panamá,Laminados,0.653159
2024,Mayo,Paraguay,Largos,0.065998
2024,Mayo,Paraguay,Planos,0.010316
2024,Mayo,Paraguay,Tubos Sin Costura,0.0
2024,Mayo,Paraguay,Laminados,0.076314
2024,Mayo,Perú,Largos,11.916387539999999
2024,Mayo,Perú,Planos,0.33977863
2024,Mayo,Perú,Tubos Sin Costura,0.05193150000000001
2024,Mayo,Perú,Laminados,12.308097669999999
2024,Mayo,Uruguay,Largos,0.00135
2024,Mayo,Uruguay,Planos,0.049615
2024,Mayo,Uruguay,Tubos Sin Costura,0.0
2024,Mayo,Uruguay,Laminados,0.050964999999999996
2024,Mayo,Venezuela,Largos,0.0
2024,Mayo,Venezuela,Planos,3.2e-05
2024,Mayo,Venezuela,Tubos Sin Costura,0.0
2024,Mayo,Venezuela,Laminados,3.2e-05
2024,Junio,Argentina,Largos,18.208
2024,Junio,Argentina,Planos,5.002
2024,Junio,Argentina,Tubos Sin Costura,21.993
2024,Junio,Argentina,Laminados,45.202999999999996
2024,Junio,Bolivia,Largos,0.000946
2024,Junio,Bolivia,Planos,0.440467
2024,Junio,Bolivia,Tubos Sin Costura,0.03404033333333333
2024,Junio,Bolivia,Laminados,0.47545333333333334
2024,Junio,Brasil,Largos,87.937
2024,Junio,Brasil,Planos,33.747
2024,Junio,Brasil,Tubos Sin Costura,0.0
2024,Junio,Brasil,Laminados,121.684
2024,Junio,Chile,Largos,15.945007680000003
2024,Junio,Chile,Planos,2.87923096
2024,Junio,Chile,Tubos Sin Costura,0.40095872
2024,Junio,Chile,Laminados,19.225197360000003
2024,Junio,Colombia,Largos,1.0331093
2024,Junio,Colombia,Planos,1.83076497
2024,Junio,Colombia,Tubos Sin Costura,3.97958785
2024,Junio,Colombia,Laminados,6.84346212
2024,Junio,Costa Rica,Largos,16.01970569999999
2024,Junio,Costa Rica,Planos,6.836884690000007
2024,Junio,Costa Rica,Tubos Sin Costura,0.015519659999999998
2024,Junio,Costa Rica,Laminados,22.872110049999993
2024,Junio,Ecuador,Largos,0.8261651
2024,Junio,Ecuador,Planos,0.1199452
2024,Junio,Ecuador,Tubos Sin Costura,0.1817711000000001
2024,Junio,Ecuador,Laminados,1.1278814000000001
2024,Junio,El Salvador,Largos,5.96340574
2024,Junio,El Salvador,Planos,5.778842870000001
2024,Junio,El Salvador,Tubos Sin Costura,0.0011578
2024,Junio,El Salvador,Laminados,11.74340641
2024,Junio,Guatemala,Largos,17.943261
2024,Junio,Guatemala,Planos,7.622817
2024,Junio,Guatemala,Tubos Sin Costura,0.125024
2024,Junio,Guatemala,Laminados,25.691102
2024,Junio,Honduras,Largos,6.5192219
2024,Junio,Honduras,Planos,2.02699329
2024,Junio,Honduras,Tubos Sin Costura,0.00260919
2024,Junio,Honduras,Laminados,8.54882438
2024,Junio,México,Largos,68.53386122112
2024,Junio,México,Planos,103.21673242816
2024,Junio,México,Tubos Sin Costura,62.0227711398
2024,Junio,México,Laminados,233.77336478908
2024,Junio,Panamá,Largos,0.088081
2024,Junio,Panamá,Planos,0.306236
2024,Junio,Panamá,Tubos Sin Costura,0.013338
2024,Junio,Panamá,Laminados,0.40765500000000005
2024,Junio,Paraguay,Largos,0.110928
2024,Junio,Paraguay,Planos,0.0
2024,Junio,Paraguay,Tubos Sin Costura,0.0
2024,Junio,Paraguay,Laminados,0.110928
2024,Junio,Perú,Largos,13.616676519999997
2024,Junio,Perú,Planos,0.2559698
2024,Junio,Perú,Tubos Sin Costura,0.05407215000000001
2024,Junio,Perú,Laminados,13.926718469999997
2024,Junio,Uruguay,Largos,0.0
2024,Junio,Uruguay,Planos,0.007776
2024,Junio,Uruguay,Tubos Sin Costura,0.0
2024,Junio,Uruguay,Laminados,0.007776
2024,Junio,Venezuela,Largos,1.0398
2024,Junio,Venezuela,Planos,1.0666666666666666e-05
2024,Junio,Venezuela,Tubos Sin Costura,0.0
2024,Junio,Venezuela,Laminados,1.0398106666666667
2024,Julio,Argentina,Largos,17.864
2024,Julio,Argentina,Planos,1.988
2024,Julio,Argentina,Tubos Sin Costura,26.529
2024,Julio,Argentina,Laminados,46.381
2024,Julio,Bolivia,Largos,0.006001
2024,Julio,Bolivia,Planos,0.202072
2024,Julio,Bolivia,Tubos Sin Costura,0.04538711111111111
2024,Julio,Bolivia,Laminados,0.2534601111111111
2024,Julio,Brasil,Largos,86.009
2024,Julio,Brasil,Planos,123.049
2024,Julio,Brasil,Tubos Sin Costura,0.0
2024,Julio,Brasil,Laminados,209.058
2024,Julio,Chile,Largos,22.702308490000004
2024,Julio,Chile,Planos,6.188524
2024,Julio,Chile,Tubos Sin Costura,0.14551046000000006
2024,Julio,Chile,Laminados,29.036342950000005
2024,Julio,Colombia,Largos,0.70618991
2024,Julio,Colombia,Planos,5.24552528
2024,Julio,Colombia,Tubos Sin Costura,2.17402235
2024,Julio,Colombia,Laminados,8.12573754
2024,Julio,Costa Rica,Largos,12.009220559999996
2024,Julio,Costa Rica,Planos,7.43281014
2024,Julio,Costa Rica,Tubos Sin Costura,0.008637120000000003
2024,Julio,Costa Rica,Laminados,19.450667819999996
2024,Julio,Ecuador,Largos,0.7549999000000005
2024,Julio,Ecuador,Planos,0.22304659999999998
2024,Julio,Ecuador,Tubos Sin Costura,0.1922219
2024,Julio,Ecuador,Laminados,1.1702684000000005
2024,Julio,El Salvador,Largos,5.319858699999999
2024,Julio,El Salvador,Planos,8.48619122
2024,Julio,El Salvador,Tubos Sin Costura,0.023063610000000002
2024,Julio,El Salvador,Laminados,13.829113529999999
2024,Julio,Guatemala,Largos,17.6398
2024,Julio,Guatemala,Planos,6.890771
2024,Julio,Guatemala,Tubos Sin Costura,0.134267
2024,Julio,Guatemala,Laminados,24.664838000000003
2024,Julio,Honduras,Largos,6.0597336
2024,Julio,Honduras,Planos,2.20402228
2024,Julio,Honduras,Tubos Sin Costura,0.00025
2024,Julio,Honduras,Laminados,8.26400588
2024,Julio,México,Largos,67.62696263643
2024,Julio,México,Planos,107.4602501347
2024,Julio,México,Tubos Sin Costura,48.37976135849
2024,Julio,México,Laminados,223.46697412961998
2024,Julio,Panamá,Largos,0.066742
2024,Julio,Panamá,Planos,0.177852
2024,Julio,Panamá,Tubos Sin Costura,0.0
2024,Julio,Panamá,Laminados,0.244594
2024,Julio,Paraguay,Largos,0.096
2024,Julio,Paraguay,Planos,0.038656
2024,Julio,Paraguay,Tubos Sin Costura,0.0
2024,Julio,Paraguay,Laminados,0.134656
2024,Julio,Perú,Largos,3.1406884599999993
2024,Julio,Perú,Planos,0.7506235400000001
2024,Julio,Perú,Tubos Sin Costura,0.04145137
2024,Julio,Perú,Laminados,3.932763369999999
2024,Julio,Uruguay,Largos,0.001189
2024,Julio,Uruguay,Planos,0.005681
2024,Julio,Uruguay,Tubos Sin Costura,6.2e-05
2024,Julio,Uruguay,Laminados,0.006932000000000001
2024,Julio,Venezuela,Largos,0.3466
2024,Julio,Venezuela,Planos,1.422222222222222e-05
2024,Julio,Venezuela,Tubos Sin Costura,0.055
2024,Julio,Venezuela,Laminados,0.40161422222222226
2024,Agosto,Argentina,Largos,23.486
2024,Agosto,Argentina,Planos,6.929
2024,Agosto,Argentina,Tubos Sin Costura,14.901
2024,Agosto,Argentina,Laminados,45.316
2024,Agosto,Bolivia,Largos,0.00022219999999999998
2024,Agosto,Bolivia,Planos,0.211378
2024,Agosto,Bolivia,Tubos Sin Costura,0.042476148148148145
2024,Agosto,Bolivia,Laminados,0.25407634814814817
2024,Agosto,Brasil,Largos,71.178
2024,Agosto,Brasil,Planos,66.968
2024,Agosto,Brasil,Tubos Sin Costura,0.0
2024,Agosto,Brasil,Laminados,138.14600000000002
2024,Agosto,Chile,Largos,4.393522500000001
2024,Agosto,Chile,Planos,2.7316621300000015
2024,Agosto,Chile,Tubos Sin Costura,0.14352140000000002
2024,Agosto,Chile,Laminados,7.268706030000003
2024,Agosto,Colombia,Largos,0.85660195
2024,Agosto,Colombia,Planos,5.96537493
2024,Agosto,Colombia,Tubos Sin Costura,2.38812066
2024,Agosto,Colombia,Laminados,9.21009754
2024,Agosto,Costa Rica,Largos,4.99539097
2024,Agosto,Costa Rica,Planos,3.4725797499999995
2024,Agosto,Costa Rica,Tubos Sin Costura,0.01139377
2024,Agosto,Costa Rica,Laminados,8.47936449
2024,Agosto,Ecuador,Largos,1.0419546899999996
2024,Agosto,Ecuador,Planos,0.15564740000000002
2024,Agosto,Ecuador,Tubos Sin Costura,1.5700000000000002e-05
2024,Agosto,Ecuador,Laminados,1.1976177899999998
2024,Agosto,El Salvador,Largos,6.250302599999999
2024,Agosto,El Salvador,Planos,6.752249600000001
2024,Agosto,El Salvador,Tubos Sin Costura,0.0004059
2024,Agosto,El Salvador,Laminados,13.0029581
2024,Agosto,Guatemala,Largos,18.043772
2024,Agosto,Guatemala,Planos,6.560118
2024,Agosto,Guatemala,Tubos Sin Costura,0.139545
2024,Agosto,Guatemala,Laminados,24.743434999999998
2024,Agosto,Honduras,Largos,6.071541860000001
2024,Agosto,Honduras,Planos,4.92697325
2024,Agosto,Honduras,Tubos Sin Costura,0.0
2024,Agosto,Honduras,Laminados,10.99851511
2024,Agosto,México,Largos,84.40457178499
2024,Agosto,México,Planos,98.11261836962
2024,Agosto,México,Tubos Sin Costura,40.18982796074
2024,Agosto,México,Laminados,222.70701811534997
2024,Agosto,Panamá,Largos,0.117161
2024,Agosto,Panamá,Planos,0.188916
2024,Agosto,Panamá,Tubos Sin Costura,0.003458
2024,Agosto,Panamá,Laminados,0.309535
2024,Agosto,Paraguay,Largos,0.283024
2024,Agosto,Paraguay,Planos,0.0
2024,Agosto,Paraguay,Tubos Sin Costura,0.0
2024,Agosto,Paraguay,Laminados,0.283024
2024,Agosto,Perú,Largos,31.226814150000003
2024,Agosto,Perú,Planos,0.39276652000000006
2024,Agosto,Perú,Tubos Sin Costura,0.05839666
2024,Agosto,Perú,Laminados,31.67797733
2024,Agosto,Uruguay,Largos,4.2e-05
2024,Agosto,Uruguay,Planos,0.053703
2024,Agosto,Uruguay,Tubos Sin Costura,5e-06
2024,Agosto,Uruguay,Laminados,0.05375
2024,Agosto,Venezuela,Largos,0.46213333333333334
2024,Agosto,Venezuela,Planos,1.896296296296296e-05
2024,Agosto,Venezuela,Tubos Sin Costura,0.018333333333333333
2024,Agosto,Venezuela,Laminados,0.4804856296296296
2024,Septiembre,Argentina,Largos,14.189
2024,Septiembre,Argentina,Planos,1.629
2024,Septiembre,Argentina,Tubos Sin Costura,32.145
2024,Septiembre,Argentina,Laminados,47.963
2024,Septiembre,Bolivia,Largos,0.004562
2024,Septiembre,Bolivia,Planos,0.28463900000000003
2024,Septiembre,Bolivia,Tubos Sin Costura,0.04063453086419753
2024,Septiembre,Bolivia,Laminados,0.3298355308641976
2024,Septiembre,Brasil,Largos,110.431
2024,Septiembre,Brasil,Planos,45.528
2024,Septiembre,Brasil,Tubos Sin Costura,0.0
2024,Septiembre,Brasil,Laminados,155.959
2024,Septiembre,Chile,Largos,7.37937496
2024,Septiembre,Chile,Planos,3.34573024
2024,Septiembre,Chile,Tubos Sin Costura,0.5492024999999999
2024,Septiembre,Chile,Laminados,11.2743077
2024,Septiembre,Colombia,Largos,1.33984694
2024,Septiembre,Colombia,Planos,6.69862997
2024,Septiembre,Colombia,Tubos Sin Costura,1.75042425
2024,Septiembre,Colombia,Laminados,9.78890116
2024,Septiembre,Costa Rica,Largos,11.00810574333333
2024,Septiembre,Costa Rica,Planos,5.914091526666669
2024,Septiembre,Costa Rica,Tubos Sin Costura,0.011850183333333333
2024,Septiembre,Costa Rica,Laminados,16.93404745333333
2024,Septiembre,Ecuador,Largos,1.3039245000000004
2024,Septiembre,Ecuador,Planos,0.2743887
2024,Septiembre,Ecuador,Tubos Sin Costura,0.05980819999999998
2024,Septiembre,Ecuador,Laminados,1.6381214000000004
2024,Septiembre,El Salvador,Largos,6.51473143
2024,Septiembre,El Salvador,Planos,8.19467459
2024,Septiembre,El Salvador,Tubos Sin Costura,0.011624689999999998
2024,Septiembre,El Salvador,Laminados,14.721030709999999
2024,Septiembre,Guatemala,Largos,13.28287
2024,Septiembre,Guatemala,Planos,5.519514
2024,Septiembre,Guatemala,Tubos Sin Costura,0.156419
2024,Septiembre,Guatemala,Laminados,18.958803
2024,Septiembre,Honduras,Largos,6.22803643
2024,Septiembre,Honduras,Planos,3.9523165899999992
2024,Septiembre,Honduras,Tubos Sin Costura,3.023e-05
2024,Septiembre,Honduras,Laminados,10.18038325
2024,Septiembre,México,Largos,70.81129157974
2024,Septiembre,México,Planos,89.9170330004
2024,Septiembre,México,Tubos Sin Costura,50.02920419695
2024,Septiembre,México,Laminados,210.75752877709
2024,Septiembre,Panamá,Largos,0.100177
