Año,Mes,País,Producto,Importacion
2024,Marzo,Perú,Tubos Sin Costura,4.67550215
2024,Marzo,Perú,Laminados,184.28595877000015
2024,Marzo,Uruguay,Largos,4.508088
2024,Marzo,Uruguay,Planos,9.10841
2024,Marzo,Uruguay,Tubos Sin Costura,0.15214
2024,Marzo,Uruguay,Laminados,13.768638
2024,Marzo,Venezuela,Largos,1.096825
2024,Marzo,Venezuela,Planos,3.760775
2024,Marzo,Venezuela,Tubos Sin Costura,1.073458
2024,Marzo,Venezuela,Laminados,5.931058
2024,Abril,Argentina,Largos,6.434
2024,Abril,Argentina,Planos,21.761
2024,Abril,Argentina,Tubos Sin Costura,4.156
2024,Abril,Argentina,Laminados,32.351
2024,Abril,Bolivia,Largos,15.08848
2024,Abril,Bolivia,Planos,24.190974
2024,Abril,Bolivia,Tubos Sin Costura,0.354453
2024,Abril,Bolivia,Laminados,39.633907
2024,Abril,Brasil,Largos,96.352
2024,Abril,Brasil,Planos,268.525
2024,Abril,Brasil,Tubos Sin Costura,0.0
2024,Abril,Brasil,Laminados,364.87699999999995
2024,Abril,Chile,Largos,20.07746009
2024,Abril,Chile,Planos,76.32381755
2024,Abril,Chile,Tubos Sin Costura,3.4578456999999996
2024,Abril,Chile,Laminados,99.85912334
2024,Abril,Colombia,Largos,48.25932853
2024,Abril,Colombia,Planos,171.73820881
2024,Abril,Colombia,Tubos Sin Costura,16.56007609
2024,Abril,Colombia,Laminados,236.55761343
2024,Abril,Costa Rica,Largos,25.222869110000012
2024,Abril,Costa Rica,Planos,45.304700489999945
2024,Abril,Costa Rica,Tubos Sin Costura,0.06143873000000002
2024,Abril,Costa Rica,Laminados,70.58900832999997
2024,Abril,Ecuador,Largos,9.045653499999998
2024,Abril,Ecuador,Planos,64.4480448999999
2024,Abril,Ecuador,Tubos Sin Costura,11.793175789999998
2024,Abril,Ecuador,Laminados,85.28687418999989
2024,Abril,El Salvador,Largos,14.413678489999999
2024,Abril,El Salvador,Planos,28.17106501
2024,Abril,El Salvador,Tubos Sin Costura,0.21062842999999998
