,impo_planos_venezuela,02.01 LAMINA EN CALIENTE,PLANOS,Carbón Mineral,Planos de Acero al Silicio,Lámina con Recubrimiento,anglePerfilesComerciales,platePlacaDeHoja,expo_planos_ecuador,HIERRO DE PRIMERA FUSIÓN,04.01 LAMINA GALVANIZADA,03.01 LAMINA EN FRIO,Arrabio,Planchón,wBeamsPerfilesEstructurales
38,0.637607,12934,1509378.6329241092,453524.490992,37432.470053000005,467993.4866925,45.8,54.5,0.271828,809774.6799220899,386,2273,280229.54991167,285847.2510201,50.0
39,0.155529,9502,1396649.908881139,419063.788699,33655.6383252,426215.23025064,47.8,58.8,0.406611,801681.54289509,214,1977,254621.88258467,371903.80043452,52.5
40,0.804529,11178,1416706.494639266,468378.17021659,25764.4490144,428806.04279357,50.3,67.375,0.301501,886478.0291050901,367,1940,285984.27889467,361003.5292504,60.0
41,1.197115,9188,1312194.6932108991,434385.800147,32678.838482600004,431772.57736398,53.8,71.875,0.427005,735061.6928580899,394,1383,234921.02284767,375846.2399031299,60.0
42,3.322082,7056,1443857.860024849,430159.415236,34235.2307254,427849.5806156501,55.8,77.4,0.507419,615335.0951340899,545,1329,216974.96512367,329471.29357946,63.0
43,1.113004,8128,1440470.768647036,431448.990406,35205.8192586,424922.73930012,58.3,84.0,0.46633,744765.43797509,856,1520,279366.47774467,461758.1608485999,65.5
44,2.065748,9173,1391460.8996776962,410728.85488,27393.5319626,402144.55427875,58.3,87.25,0.26863,730790.42113409,556,1323,279241.29112367,482469.2766384399,68.0
45,1.507306,9495,1312460.661269646,434433.601337,39384.9343884,384635.4633318,58.3,89.0,0.2950407,783392.6054830899,717,1753,236243.93626267,426815.82736662,68.0
46,1.857178,9890,1360045.2887234262,410794.936246,40643.1965688,424195.44213367,60.8,90.1875,0.192781,739626.08273109,589,1657,230383.04250067,393712.33102756,70.5
47,0.92557,9532,1121146.1768987393,481337.805712,41622.327579,371674.879054,60.8,90.75,0.3345415,820123.22220009,518,1655,272538.12218967,402597.00089962,70.5
48,4.98895,9877,1225558.914238006,769986.4702999999,35692.181117,392858.21041209,60.8,90.75,0.189521,767745.29411033,643,1958,264131.29365633,396881.20417628,70.5
49,3.055716,9582,1237577.663502636,614483.5687859999,46558.322964,376034.4564776,60.8,90.5625,0.22092718,668245.64531533,563,1605,221128.05501533,390133.66777503,70.5
50,3.834372,16652,1409820.367106096,855440.5080120001,46834.572283,443184.4094295899,64.8,91.5,0.4064957,664171.14250333,1044,3242,209039.65010333,557560.54256903,73.5
51,4.022543,11884,1264367.009484666,532168.4393920001,22001.4070678,379740.40434849,64.8,94.55,0.34099675,729827.24652333,848,2224,251956.98652333,550135.1658550999,76.5
52,2.30894,10818,1557480.281125926,546185.193292,55989.7845805,453859.08797588,64.8,94.8,0.401447,811440.06134133,833,1990,295995.06088833004,477081.7976075,76.5
53,5.112034,11180,1184941.2912747762,490093.812323,27097.339758,369092.75165108,64.8,90.75,0.3866154,771273.88018133,933,1790,240659.32996133,607214.5457493,76.5
54,5.945859,10822,1220822.697658666,476290.388884,34944.719337999995,377532.7177404,62.3,89.5,0.2805028,768539.59384333,918,1704,212496.52339333,469650.4222385999,73.5
55,12.753421,12285,1332258.135298746,536318.6113170001,38929.462751,399814.89514287,62.3,87.0,0.3304528,758279.80563933,953,1996,272290.81963933003,536786.9621722001,73.5
56,7.306211,14548,1222026.1382099958,708397.448349,23728.714628,378879.2145672299,62.3,84.25,0.114423,705192.91489033,1043,2625,212183.34469033,497733.1829671,73.5
