,Fecha,Total,Edificación,"Agua, riego y saneamiento",Electricidad y comunicaciones,Transporte,Petróleo y petroquímica,Otras construcciones
108,2021-01,-1.1,-5.3,8.3,13.2,-4.5,14.8,1.1
109,2021-02,2.8,0.3,13.7,1,4,17.4,3.3
110,2021-03,2.3,0.2,-5.4,-6.1,11.3,9,2.3
111,2021-04,0.7,0.8,18.3,-5.8,-7.8,19.3,-2.9
112,2021-05,-2.9,-4.4,-16.1,0.2,2.1,3.8,-3.5
113,2021-06,-6.2,-3.9,4,-7.5,-15.6,4.5,-4.3
114,2021-07,6.1,1.9,-0.9,-0.2,15.4,8.8,0.2
115,2021-08,2.2,3.4,-3.1,-9,0.4,2,2.6
116,2021-09,0.4,-1,-2.1,-16.2,5.4,-3.8,4
117,2021-10,0.2,0.7,-3.1,10.4,-4.5,10.8,-3.8
118,2021-11,-1.2,-0.4,-1.4,-16.2,-1.4,15.6,-6.6
119,2021-12,-1.2,0.9,10.9,8.5,-9.4,-2.6,1.7
120,2022-01,5.1,6.7,3.6,-4.1,10.1,-13.9,11.5
121,2022-02,-0.9,5.9,-9,1.4,-12.9,2.1,2
122,2022-03,2.2,2.7,14,16.2,7,-3.1,0.7
123,2022-04,0.1,-2.4,-10.7,11.5,-12.9,18.1,4.7
124,2022-05,-1.4,-1.5,17.5,9.9,-5.2,-1.5,0.1
125,2022-06,-3.2,-2.3,2.7,-0.9,-5.9,-2.2,-3.4
126,2022-07,2,-2.9,8.8,-8.5,5.5,8.7,-1.6
127,2022-08,-3.3,0.3,-4.5,-1.7,-1.8,1.8,-11.3
128,2022-09,2.2,-0.2,-12,1.4,1.5,16.4,4.3
129,2022-10,0,1.7,24.8,3.2,-20.1,4.4,1.8
130,2022-11,4.4,0,4,20.4,29.2,4.1,-2
131,2022-12,1.1,0.5,0.9,2.6,-0.7,-6.3,8.1
132,2023-01,0.9,7,4.5,7.4,-4.9,-2.5,-0.5
133,2023-02,-0.3,-3.3,6,3.8,17.1,-3.4,-6.3
134,2023-03,5.3,0.8,34.1,-7.7,10.3,1.8,7.6
135,2023-04,5.8,0.1,2.2,27.6,22.5,-7.8,-0.9
136,2023-05,8.7,3.5,-4.9,16.5,24.9,5.5,2.3
137,2023-06,5.3,2.6,-11.9,5.2,11.5,1.5,2.1
138,2023-07,7.3,-0.3,-3.3,6.9,22.6,-4.5,9.9
139,2023-08,3.4,6.6,12.1,4.1,3.4,-5.5,-2.1
140,2023-09,2,1.2,9.2,8.4,4.6,3.1,2.8
141,2023-10,-1.4,0.6,-13.9,-6.4,-11.2,5,0.8
142,2023-11,-1.1,1.9,4.8,-1.9,0.8,-5.6,-0.8
143,2023-12,-2.8,0,1.8,-5.5,-4.2,1.2,-2.8
144,2024-01,-7.5,-4.8,-3.7,-10.4,-16.3,12.8,-8
145,2024-02,-3.3,-2.1,-16.1,7.9,-6.7,-5.6,2.1
146,2024-03,-1.4,0.1,17.1,0.8,-6.7,2.2,-4.8
147,2024-04,-0.6,3.2,0.9,-10.4,-0.5,-11.5,1.2
148,2024-05,0.1,1.3,7.3,1.6,-7.6,5.5,-1.8
149,2024-06,3.3,1.2,9.7,1.7,5.5,-0.5,3.4
150,2024-07,-1.8,2.4,-2.3,8.3,-8.4,-3.2,-6.2
151,2024-08,-2.2,1.2,-4.8,-1.7,-9.3,0.5,3.4
152,2024-09,-5.6,-0.8,1.3,1.8,-15.8,-3.6,-2.6
153,2024-10,-1.3,-2.3,-8.3,-2.2,4.9,-18.1,0.7
154,2024-11,-3.5,-3.1,-0.6,-0.5,-7.6,-6,5.1
155,2024-12,-0.4,-0.2,-2.7,4.3,0,4.4,-6
156,2025-01,-4.2,-1.5,-16.2,16,-14.3,-7.8,3.9
