Fecha,Low,Mid,High
1992-12,17.25,17.25,17.25
1993-01,17.75,17.75,17.75
1993-02,20.0,20.0,20.0
1993-03,20.42,20.42,20.42
1993-04,20.84,20.84,20.84
1993-05,21.0,21.0,21.0
1993-06,21.0,21.0,21.0
1993-07,21.875,21.875,21.875
1993-08,22.0,22.0,22.0
1993-09,22.0,22.0,22.0
1993-10,22.0,22.0,22.0
1993-11,22.0,22.0,22.0
1993-12,22.0,22.0,22.0
1994-01,22.0,22.0,22.0
1994-02,22.75,22.75,22.75
1994-03,22.75,22.75,22.75
1994-04,22.75,22.75,22.75
1994-05,22.75,22.75,22.75
1994-06,22.75,22.75,22.75
1994-07,23.13,23.13,23.13
1994-08,23.25,23.25,23.25
1994-09,23.25,23.25,23.25
1994-10,23.25,23.25,23.25
1994-11,23.25,23.25,23.25
1994-12,23.25,23.25,23.25
1995-01,24.41,24.41,24.41
1995-02,24.75,24.75,24.75
1995-03,24.75,24.75,24.75
1995-04,24.865384615384617,24.865384615384617,24.865384615384617
1995-05,24.98076923076923,24.98076923076923,24.98076923076923
1995-06,25.096153846153847,25.096153846153847,25.096153846153847
1995-07,25.21153846153846,25.21153846153846,25.21153846153846
1995-08,25.326923076923077,25.326923076923077,25.326923076923077
1995-09,25.442307692307693,25.442307692307693,25.442307692307693
1995-10,25.557692307692307,25.557692307692307,25.557692307692307
1995-11,25.673076923076923,25.673076923076923,25.673076923076923
1995-12,25.78846153846154,25.78846153846154,25.78846153846154
1996-01,25.903846153846153,25.903846153846153,25.903846153846153
1996-02,26.01923076923077,26.01923076923077,26.01923076923077
1996-03,26.134615384615383,26.134615384615383,26.134615384615383
1996-04,26.25,26.25,26.25
1996-05,26.25,26.25,26.25
1996-06,26.25,26.25,26.25
1996-07,26.25,26.25,26.25
1996-08,26.25,26.25,26.25
1996-09,26.25,26.25,26.25
1996-10,26.25,26.25,26.25
1996-11,24.75,24.75,24.75
1996-12,20.085,20.085,20.085
1997-01,19.81375,19.81375,19.81375
1997-02,19.5425,19.5425,19.5425
1997-03,19.271250000000002,19.271250000000002,19.271250000000002
1997-04,19.0,19.0,19.0
1997-05,18.65,18.65,18.65
1997-06,18.3,18.3,18.3
1997-07,17.95,17.95,17.95
1997-08,17.6,17.6,17.6
1997-09,17.25,17.25,17.25
1997-10,16.625,16.625,16.625
1997-11,16.0,16.0,16.0
1997-12,15.9375,15.9375,15.9375
1998-01,15.875,15.875,15.875
1998-02,15.8125,15.8125,15.8125
1998-03,15.75,15.75,15.75
1998-04,15.6875,15.6875,15.6875
1998-05,15.625,15.625,15.625
1998-06,15.5625,15.5625,15.5625
1998-07,15.5,15.5,15.5
1998-08,15.125,15.125,15.125
1998-09,14.75,14.75,14.75
1998-10,14.375,14.375,14.375
1998-11,14.0,14.0,14.0
1998-12,14.15,14.15,14.15
1999-01,14.3,14.3,14.3
1999-02,14.45,14.45,14.45
1999-03,14.6,14.6,14.6
1999-04,14.75,14.75,14.75
1999-05,14.9,14.9,14.9
1999-06,15.05,15.05,15.05
1999-07,15.2,15.2,15.2
1999-08,15.35,15.35,15.35
1999-09,15.5,15.5,15.5
1999-10,16.25,16.25,16.25
1999-11,17.0,17.0,17.0
1999-12,17.333333333333332,17.333333333333332,17.333333333333332
2000-01,17.666666666666668,17.666666666666668,17.666666666666668
2000-02,18.0,18.0,18.0
2000-03,17.833333333333332,17.833333333333332,17.833333333333332
2000-04,17.666666666666668,17.666666666666668,17.666666666666668
2000-05,17.5,17.5,17.5
2000-06,15.0,15.0,15.0
2000-07,14.625,14.625,14.625
2000-08,14.25,14.25,14.25
2000-09,13.666666666666666,13.666666666666666,13.666666666666666
2000-10,13.083333333333334,13.083333333333334,13.083333333333334
2000-11,12.5,12.5,12.5
2000-12,12.0,12.0,12.0
2001-01,12.166666666666666,12.166666666666666,12.166666666666666
2001-02,12.333333333333334,12.333333333333334,12.333333333333334
2001-03,12.5,12.5,12.5
2001-04,12.25,12.25,12.25
2001-05,12.0,12.0,12.0
2001-06,11.75,11.75,11.75
2001-07,11.5,11.5,11.5
2001-08,11.166666666666666,11.166666666666666,11.166666666666666
2001-09,10.833333333333334,10.833333333333334,10.833333333333334
2001-10,10.5,10.5,10.5
2001-11,11.0,11.0,11.0
2001-12,11.5,11.5,11.5
2002-01,12.0,12.0,12.0
2002-02,13.75,13.75,13.75
2002-03,15.5,15.5,15.5
2002-04,16.0,16.0,16.0
2002-05,16.5,16.5,16.5
2002-06,19.5,19.5,19.5
2002-07,18.75,18.75,18.75
2002-08,18.0,18.0,18.0
2002-09,18.5,18.5,18.5
2002-10,19.0,19.0,19.0
2002-11,16.0,16.0,16.0
2002-12,15.875,15.875,15.875
2003-01,15.75,15.75,15.75
2003-02,14.0,14.0,14.0
2003-03,15.25,15.25,15.25
2003-04,14.0,14.0,14.0
2003-05,13.0,13.0,13.0
2003-06,14.0,14.0,14.0
2003-07,14.333333333333334,14.333333333333334,14.333333333333334
2003-08,14.666666666666666,14.666666666666666,14.666666666666666
2003-09,15.0,15.0,15.0
2003-10,15.375,15.375,15.375
2003-11,15.75,15.75,15.75
2003-12,18.5,18.5,18.5
2004-01,21.5,21.5,21.5
2004-02,24.5,24.5,24.5
2004-03,26.5,26.5,26.5
2004-04,28.5,28.5,28.5
2004-05,30.5,30.5,30.5
2004-06,32.5,32.5,32.5
2004-07,34.5,34.5,34.5
2004-08,35.5625,35.5625,35.5625
2004-09,36.625,36.625,36.625
2004-10,35.416666666666664,35.416666666666664,35.416666666666664
2004-11,34.208333333333336,34.208333333333336,34.208333333333336
2004-12,33.0,33.0,33.0
2005-01,32.0,32.0,32.0
2005-02,31.5,31.5,31.5
2005-03,31.0,31.0,31.0
2005-04,29.0,29.0,29.0
2005-05,26.5,26.5,26.5
2005-06,24.5,24.5,24.5
2005-07,22.0,22.0,22.0
2005-08,24.0,24.0,24.0
2005-09,27.25,27.25,27.25
2005-10,27.3125,27.3125,27.3125
2005-11,27.375,27.375,27.375
2005-12,27.4375,27.4375,27.4375
2006-01,27.5,27.5,27.5
2006-02,28.0,28.0,28.0
2006-03,28.5,28.5,28.5
2006-04,29.0,29.0,29.0
2006-05,31.0,31.0,31.0
2006-06,32.5,32.5,32.5
2006-07,32.0,32.0,32.0
2006-08,31.5,31.5,31.5
2006-09,30.5,30.5,30.5
2006-10,29.5,29.5,29.5
2006-11,28.5,28.5,28.5
2006-12,27.5,27.5,27.5
2007-01,25.5,25.5,25.5
2007-02,27.125,27.125,27.125
2007-03,28.75,28.75,28.75
2007-04,28.5,28.5,28.5
2007-05,28.25,28.25,28.25
2007-06,26.25,26.25,26.25
2007-07,25.75,25.75,25.75
2007-08,26.5,26.5,26.5
2007-09,26.0,26.0,26.0
2007-10,26.5,26.5,26.5
2007-11,27.0,27.0,27.0
2007-12,29.0,29.0,29.0
2008-01,31.5,31.5,31.5
2008-02,35.75,35.75,35.75
2008-03,40.0,40.0,40.0
2008-04,48.333333333333336,48.333333333333336,48.333333333333336
2008-05,55.375,55.375,55.375
2008-06,54.0,54.0,54.0
2008-07,53.0,53.0,53.0
2008-08,52.0,52.0,52.0
2008-09,49.0,49.0,49.0
2008-10,44.333333333333336,44.333333333333336,44.333333333333336
2008-11,36.0,36.0,36.0
2008-12,28.0,28.0,28.0
2009-01,26.0,26.0,26.0
2009-02,25.0,25.0,25.0
2009-03,24.0,24.0,24.0
2009-04,21.0,21.0,21.0
2009-05,20.583333333333336,20.583333333333336,20.583333333333336
2009-06,20.166666666666668,20.166666666666668,20.166666666666668
2009-07,23.5,23.5,23.5
2009-08,25.5,25.5,25.5
2009-09,29.0,29.0,29.0
2009-10,27.0,27.0,27.0
2009-11,25.0,25.0,25.0
2009-12,27.75,27.75,27.75
2010-01,30.5,30.5,30.5
2010-02,32.0,32.0,32.0
2010-03,34.5,34.5,34.5
2010-04,36.5,36.5,36.5
2010-05,35.0,35.0,35.0
2010-06,33.25,33.25,33.25
2010-07,30.5,30.5,30.5
2010-08,30.0,30.0,30.0
2010-09,29.125,29.125,29.125
2010-10,28.25,28.25,28.25
2010-11,28.75,28.75,28.75
2010-12,32.875,32.875,32.875
2011-01,39.666666666666664,39.666666666666664,39.666666666666664
2011-02,45.0,45.0,45.0
2011-03,44.0,44.0,44.0
2011-04,43.0,43.0,43.0
2011-05,39.0,39.0,39.0
2011-06,37.375,37.375,37.375
2011-07,35.075,35.075,35.075
2011-08,33.125,33.125,33.125
2011-09,34.75,34.75,34.75
2011-10,32.6875,32.6875,32.6875
2011-11,33.333333333333336,33.333333333333336,33.333333333333336
2011-12,35.833333333333336,35.833333333333336,35.833333333333336
2012-01,37.25,37.25,37.25
2012-02,36.1875,36.1875,36.1875
2012-03,34.375,34.375,34.375
2012-04,34.375,34.375,34.375
2012-05,32.7,32.7,32.7
2012-06,30.583333333333332,30.583333333333332,30.583333333333332
2012-07,31.25,31.25,31.25
2012-08,32.9375,32.9375,32.9375
2012-09,32.083333333333336,32.083333333333336,32.083333333333336
2012-10,29.75,29.75,29.75
2012-11,31.25,31.25,31.25
2012-12,32.0,32.0,32.0
2013-01,31.333333333333332,31.333333333333332,31.333333333333332
2013-02,31.0,31.0,31.0
2013-03,30.375,30.375,30.375
2013-04,29.5,29.5,29.5
2013-05,28.5,28.5,28.5
2013-06,30.1875,30.1875,30.1875
2013-07,32.0,32.0,32.0
2013-08,32.666666666666664,32.666666666666664,32.666666666666664
2013-09,32.25,32.25,32.25
2013-10,33.0,33.0,33.0
2013-11,33.75,33.75,33.75
2013-12,33.8125,33.8125,33.8125
2014-01,33.875,33.875,33.875
2014-02,32.5,32.5,32.5
2014-03,31.75,31.75,31.75
2014-04,33.916666666666664,33.916666666666664,33.916666666666664
2014-05,34.25,34.25,34.25
2014-06,33.5,33.5,33.5
2014-07,33.5,33.5,33.5
2014-08,33.625,33.625,33.625
2014-09,33.125,33.125,33.125
2014-10,32.25,32.25,32.25
2014-11,31.75,31.75,31.75
2014-12,30.45,30.45,30.45
2015-01,28.166666666666668,28.166666666666668,28.166666666666668
2015-02,25.25,25.25,25.25
2015-03,23.6875,23.6875,23.6875
2015-04,22.15,22.15,22.15
2015-05,22.6875,22.6875,22.6875
2015-06,23.0625,23.0625,23.0625
2015-07,23.2,23.2,23.2
2015-08,22.9375,22.9375,22.9375
2015-09,22.0,22.0,22.0
2015-10,20.15,20.15,20.15
2015-11,18.6875,18.6875,18.6875
2015-12,18.0,18.0,18.0
2016-01,19.625,19.625,19.625
2016-02,20.0,20.0,20.0
2016-03,21.1,21.1,21.1
2016-04,25.125,25.125,25.125
2016-05,31.0,31.0,31.0
2016-06,31.75,31.75,31.75
2016-07,30.75,30.75,30.75
2016-08,29.625,29.625,29.625
2016-09,26.5,26.5,26.5
2016-10,23.875,23.875,23.875
2016-11,25.8125,25.8125,25.8125
2016-12,29.5,29.5,29.5
2017-01,31.0,31.0,31.0
2017-02,31.0,31.0,31.0
2017-03,32.35,32.35,32.35
2017-04,32.25,32.25,32.25
2017-05,30.6875,30.6875,30.6875
2017-06,29.5,29.5,29.5
2017-07,30.97,30.97,30.97
2017-08,31.4,31.4,31.4
2017-09,30.725,30.725,30.725
2017-10,29.490000000000002,29.490000000000002,29.490000000000002
2017-11,30.708,30.708,30.708
2017-12,32.245,32.245,32.245
2018-01,34.5225,34.5225,34.5225
2018-02,37.28,37.28,37.28
2018-03,41.834,41.834,41.834
2018-04,43.205,43.205,43.205
2018-05,44.034,44.034,44.034
2018-06,45.417500000000004,45.417500000000004,45.417500000000004
2018-07,45.585,45.585,45.585
2018-08,43.971999999999994,43.971999999999994,43.971999999999994
2018-09,41.705,41.705,41.705
2018-10,41.25,41.25,41.25
2018-11,39.414,39.414,39.414
2018-12,37.0385,37.0385,37.0385
2019-01,34.68666666666667,34.68666666666667,34.68666666666667
2019-02,34.3021052631579,34.3021052631579,34.3021052631579
2019-03,34.80714285714286,34.80714285714286,34.80714285714286
2019-04,33.90761904761904,33.90761904761904,33.90761904761904
2019-05,31.05818181818182,31.05818181818182,31.05818181818182
2019-06,27.2255,27.2255,27.2255
2019-07,28.070909090909087,28.070909090909087,28.070909090909087
2019-08,29.607727272727274,29.607727272727274,29.607727272727274
2019-09,27.828500000000002,27.828500000000002,27.828500000000002
2019-10,24.566521739130433,24.566521739130433,24.566521739130433
2019-11,26.263157894736842,26.263157894736842,26.263157894736842
2019-12,28.422857142857143,28.422857142857143,28.422857142857143
2020-01,30.10333333333333,30.10333333333333,30.10333333333333
2020-02,29.25052631578947,29.25052631578947,29.25052631578947
2020-03,28.62590909090909,28.62590909090909,28.62590909090909
2020-04,24.298095238095236,24.298095238095236,24.298095238095236
2020-05,24.636000000000003,24.636000000000003,24.636000000000003
2020-06,24.971818181818183,24.971818181818183,24.971818181818183
2020-07,23.03181818181818,23.03181818181818,23.03181818181818
2020-08,23.65904761904762,23.65904761904762,23.65904761904762
2020-09,28.277619047619048,28.277619047619048,28.277619047619048
2020-10,32.76454545454545,32.76454545454545,32.76454545454545
2020-11,36.36105263157895,36.36105263157895,36.36105263157895
2020-12,46.95727272727272,46.95727272727272,46.95727272727272
2021-01,54.932105263157894,54.932105263157894,54.932105263157894
2021-02,59.6921052631579,59.6921052631579,59.6921052631579
2021-03,64.50739130434783,64.50739130434783,64.50739130434783
2021-04,69.51809523809524,69.51809523809524,69.51809523809524
2021-05,77.636,77.636,77.636
2021-06,83.95409090909091,83.95409090909091,83.95409090909091
2021-07,90.75761904761904,90.75761904761904,90.75761904761904
2021-08,95.47590909090908,95.47590909090908,95.47590909090908
2021-09,97.46095238095238,97.46095238095238,97.46095238095238
2021-10,96.30047619047619,96.30047619047619,96.30047619047619
2021-11,91.6225,91.6225,91.6225
2021-12,82.16190476190475,82.16190476190475,82.16190476190475
2022-01,72.022,72.022,72.022
2022-02,54.809999999999995,54.809999999999995,54.809999999999995
2022-03,63.20434782608696,63.20434782608696,63.20434782608696
2022-04,73.761,73.761,73.761
2022-05,67.75333333333333,67.75333333333333,67.75333333333333
2022-06,54.362380952380946,54.362380952380946,54.362380952380946
2022-07,43.915499999999994,43.915499999999994,43.915499999999994
2022-08,40.32521739130435,40.32521739130435,40.32521739130435
2022-09,39.37714285714286,39.37714285714286,39.37714285714286
2022-10,36.52333333333333,36.52333333333333,36.52333333333333
2022-11,32.763999999999996,32.763999999999996,32.763999999999996
2022-12,34.610952380952384,34.610952380952384,34.610952380952384
2023-01,37.453500000000005,37.453500000000005,37.453500000000005
2023-02,43.22052631578948,43.22052631578948,43.22052631578948
2023-03,56.72826086956522,56.72826086956522,56.72826086956522
2023-04,58.571578947368415,58.571578947368415,58.571578947368415
2023-05,53.91,53.91,53.91
2023-06,46.07142857142857,46.07142857142857,46.07142857142857
2023-07,43.2265,43.2265,43.2265
2023-08,38.49391304347826,38.49391304347826,38.49391304347826
2023-09,33.954,33.954,33.954
2023-10,37.205,37.205,37.205
2023-11,46.2215,46.2215,46.2215
2023-12,53.525999999999996,53.525999999999996,53.525999999999996
2024-01,53.98809523809524,53.98809523809524,53.98809523809524
2024-02,46.093,46.093,46.093
2024-03,41.1305,41.1305,41.1305
2024-04,42.058181818181815,42.058181818181815,42.058181818181815
2024-05,39.087272727272726,39.087272727272726,39.087272727272726
2024-06,35.69,35.69,35.69
2024-07,32.401818181818186,32.401818181818186,32.401818181818186
2024-08,33.935,33.935,33.935
2024-09,35.22,35.22,35.22
2024-10,34.93217391304348,34.93217391304348,34.93217391304348
2024-11,34.69842105263158,34.69842105263158,34.69842105263158
2024-12,34.51095238095238,34.51095238095238,34.51095238095238
2025-01,35.32333333333333,35.32333333333333,35.32333333333333
2025-02,40.3421052631579,40.3421052631579,40.3421052631579
2025-03,46.461666666666666,46.461666666666666,46.461666666666666
