Año,Mes,País,Producto,Consumo
2024,Marzo,Panamá,Tubos Sin Costura,0.131287
2024,Marzo,Panamá,Laminados,36.795797
2024,Marzo,Paraguay,Largos,6.979047132901509
2024,Marzo,Paraguay,Planos,16.13262091
2024,Marzo,Paraguay,Tubos Sin Costura,0.10977240000000002
2024,Marzo,Paraguay,Laminados,23.22144044290151
2024,Marzo,Perú,Largos,243.82926774340527
2024,Marzo,Perú,Planos,91.43359672529836
2024,Marzo,Perú,Tubos Sin Costura,4.5293864699999995
2024,Marzo,Perú,Laminados,339.79225093870366
2024,Marzo,República Dominicana,Largos,48.66942551191657
2024,Marzo,República Dominicana,Planos,5.871892611402674
2024,Marzo,República Dominicana,Tubos Sin Costura,0.0
2024,Marzo,República Dominicana,Laminados,54.54131812331924
2024,Marzo,Uruguay,Largos,8.017914814626117
2024,Marzo,Uruguay,Planos,9.06449
2024,Marzo,Uruguay,Tubos Sin Costura,0.15214
2024,Marzo,Uruguay,Laminados,17.234544814626116
2024,Marzo,Venezuela,Largos,8.78533840392124
2024,Marzo,Venezuela,Planos,3.760775
2024,Marzo,Venezuela,Tubos Sin Costura,1.073458
2024,Marzo,Venezuela,Laminados,13.619571403921242
2024,Abril,Argentina,Largos,50.67699999999999
2024,Abril,Argentina,Planos,159.78199999999998
2024,Abril,Argentina,Tubos Sin Costura,30.731999999999996
2024,Abril,Argentina,Laminados,241.19099999999997
2024,Abril,Bolivia,Largos,15.088284
2024,Abril,Bolivia,Planos,24.18850501
2024,Abril,Bolivia,Tubos Sin Costura,0.300333
2024,Abril,Bolivia,Laminados,39.577122010000004
2024,Abril,Brasil,Largos,860.086
2024,Abril,Brasil,Planos,1300.677
2024,Abril,Brasil,Tubos Sin Costura,0.0
2024,Abril,Brasil,Laminados,2160.763
2024,Abril,Chile,Largos,74.64969919999989
2024,Abril,Chile,Planos,72.40838355
2024,Abril,Chile,Tubos Sin Costura,3.3720706399999996
2024,Abril,Chile,Laminados,150.43015338999987
