Año,Mes,Familia_canacero,Vol. Ventas (ton)
2019,septiembre,04.01 LAMINA GALVANIZADA,137.125
2019,septiembre,05.01 PERFILES ESTRUCTURALES,8270.209243
2019,septiembre,06.01 PERFILES COMERCIALES,3291.548979
2019,octubre,01.01 PLACA DE ROLLO,12571.031697000002
2019,octubre,01.02 PLACA DE HOJA,2258.6691880000003
2019,octubre,02.01 LAMINA EN CALIENTE,6993.635426999998
2019,octubre,03.01 LAMINA EN FRIO,699.842
2019,octubre,04.01 LAMINA GALVANIZADA,227.10103999999998
2019,octubre,05.01 PERFILES ESTRUCTURALES,7739.080422999999
2019,octubre,06.01 PERFILES COMERCIALES,3617.1462290000004
2019,noviembre,01.01 PLACA DE ROLLO,10989.003654999999
2019,noviembre,01.02 PLACA DE HOJA,1922.0676
2019,noviembre,02.01 LAMINA EN CALIENTE,7339.448154000001
2019,noviembre,03.01 LAMINA EN FRIO,897.352862
2019,noviembre,04.01 LAMINA GALVANIZADA,219.57444
2019,noviembre,05.01 PERFILES ESTRUCTURALES,7811.15167
2019,noviembre,06.01 PERFILES COMERCIALES,3803.37235
2019,diciembre,01.01 PLACA DE ROLLO,9159.465596999999
2019,diciembre,01.02 PLACA DE HOJA,2235.7086
2019,diciembre,02.01 LAMINA EN CALIENTE,5828.269740999999
2019,diciembre,03.01 LAMINA EN FRIO,818.9
2019,diciembre,04.01 LAMINA GALVANIZADA,172.70108000000002
2019,diciembre,05.01 PERFILES ESTRUCTURALES,7991.219118000001
2019,diciembre,06.01 PERFILES COMERCIALES,2772.981604
2020,enero,01.01 PLACA DE ROLLO,11316.915812000003
2020,enero,01.02 PLACA DE HOJA,1972.9618
2020,enero,02.01 LAMINA EN CALIENTE,9225.891995000002
2020,enero,03.01 LAMINA EN FRIO,1113.612
2020,enero,04.01 LAMINA GALVANIZADA,184.07368
2020,enero,05.01 PERFILES ESTRUCTURALES,8098.799451
2020,enero,06.01 PERFILES COMERCIALES,3963.3580790000005
2020,febrero,01.01 PLACA DE ROLLO,10088.592398000003
2020,febrero,01.02 PLACA DE HOJA,2370.59695
2020,febrero,02.01 LAMINA EN CALIENTE,8011.721216000001
2020,febrero,03.01 LAMINA EN FRIO,972.857
2020,febrero,04.01 LAMINA GALVANIZADA,175.76832000000002
2020,febrero,05.01 PERFILES ESTRUCTURALES,7516.0389
2020,febrero,06.01 PERFILES COMERCIALES,4413.570507
2020,marzo,01.01 PLACA DE ROLLO,12502.076582
2020,marzo,01.02 PLACA DE HOJA,1862.001
2020,marzo,02.01 LAMINA EN CALIENTE,9435.661546
2020,marzo,03.01 LAMINA EN FRIO,1149.547
2020,marzo,04.01 LAMINA GALVANIZADA,204.588427
2020,marzo,05.01 PERFILES ESTRUCTURALES,11395.220722999999
2020,marzo,06.01 PERFILES COMERCIALES,4653.104018
2020,abril,01.01 PLACA DE ROLLO,6520.761081
2020,abril,01.02 PLACA DE HOJA,1027.468
2020,abril,02.01 LAMINA EN CALIENTE,5551.246548999997
2020,abril,03.01 LAMINA EN FRIO,836.679722
2020,abril,04.01 LAMINA GALVANIZADA,109.26011499999998
2020,abril,05.01 PERFILES ESTRUCTURALES,6212.064676999999
2020,abril,06.01 PERFILES COMERCIALES,2850.954098
2020,mayo,01.01 PLACA DE ROLLO,7263.1489409999995
2020,mayo,01.02 PLACA DE HOJA,885.906
2020,mayo,02.01 LAMINA EN CALIENTE,7065.558628999999
2020,mayo,03.01 LAMINA EN FRIO,952.345
2020,mayo,04.01 LAMINA GALVANIZADA,152.917549
2020,mayo,05.01 PERFILES ESTRUCTURALES,5749.595881000001
2020,mayo,06.01 PERFILES COMERCIALES,3199.79913
2020,junio,01.01 PLACA DE ROLLO,8302.254189000003
2020,junio,01.02 PLACA DE HOJA,1270.8202
2020,junio,02.01 LAMINA EN CALIENTE,8797.311678000004
2020,junio,03.01 LAMINA EN FRIO,926.089
2020,junio,04.01 LAMINA GALVANIZADA,197.25419600000004
2020,junio,05.01 PERFILES ESTRUCTURALES,7886.476392
2020,junio,06.01 PERFILES COMERCIALES,3992.513904
2020,julio,01.01 PLACA DE ROLLO,9700.418784
2020,julio,01.02 PLACA DE HOJA,1558.79
2020,julio,02.01 LAMINA EN CALIENTE,10794.696472000001
2020,julio,03.01 LAMINA EN FRIO,1316.604
2020,julio,04.01 LAMINA GALVANIZADA,204.57980100000003
2020,julio,05.01 PERFILES ESTRUCTURALES,8186.325875999999
2020,julio,06.01 PERFILES COMERCIALES,4552.529362
2020,agosto,01.01 PLACA DE ROLLO,11649.556215
2020,agosto,01.02 PLACA DE HOJA,1830.1706000000001
2020,agosto,02.01 LAMINA EN CALIENTE,12056.305722000003
2020,agosto,03.01 LAMINA EN FRIO,1404.826
2020,agosto,04.01 LAMINA GALVANIZADA,367.26207700000003
2020,agosto,05.01 PERFILES ESTRUCTURALES,9272.806122
2020,agosto,06.01 PERFILES COMERCIALES,4782.321215
2020,septiembre,01.01 PLACA DE ROLLO,9832.436165000003
2020,septiembre,01.02 PLACA DE HOJA,3036.2538
2020,septiembre,02.01 LAMINA EN CALIENTE,11921.584653999998
2020,septiembre,03.01 LAMINA EN FRIO,1195.136
