Fecha,Alambre,Alambre y derivados,Alambrón,Arrabio,Barras,Caliente,Carbón Mineral,Chatarra,"Cintas, Tiras y Flejes",Coque,Derivados de alambre,Ferroaleaciones,Fierro Esponja,Frío,Granallas y Polvos,HIERRO DE PRIMERA FUSIÓN,"Lingotes, Palanquillas, etc.",Lámina con Recubrimiento,Material Relaminable,Mineral de Hierro,PLANOS,Perfiles Comerciales formados en Caliente,Perfiles Estructurales (Caliente y Frío),Perfiles Inoxidables y Aleados,Planchón,Planos con Otros Recubiertos y Trabajos,Planos de Acero Aleado,Planos de Acero Inoxidable,Planos de Acero al Silicio,Rieles,TUBOS CON Y SIN COSTURA,Tubos c/Costura > 406.4 mm,Tubos c/Costura ≤ 406.4 mm,Tubos con Costura,Tubos sin Costura,Varilla Corrugada
2017-02,164566.5306434,161458.8618035,209152.922892,345838.93705999997,100728.89912850001,90031.936184,1469984.389857,628670.4716149999,493.0338580000001,188964.285245,-3107.6688399000004,22615.502403,522384.516,-5970.031432999999,4525.792752,868223.45306,184224.47930900002,366701.39739799994,355.16101,691776.88211,1230179.1471791998,35750.015726,84061.90475100001,5071.676904,317416.24595300003,1197.1615019999972,117820.94730639999,54257.26374449999,13063.024089,6080.534023,127344.39512956698,70693.46403209999,55280.251898867005,125973.715930967,1370.679198599988,307772.382
2017-03,177254.2150162,174154.78664940002,218410.364382,380044.624768,122326.63754889999,104350.4230325,1759775.101114,713940.5727235,993.1227355,262449.39688300004,-3099.428366799996,23062.1788905,637844.2202,-61.32876690000012,5094.171535,1017888.844968,227530.584816,413438.00211349997,2320.6839999999997,720995.426712,1474024.2199661003,47444.9304347,104289.0942656,2174.5987133999997,357273.18246100005,4698.5360034,182470.35275030002,65797.30573429998,14142.824607999999,1726.981187,229601.250389667,156739.6635161,50440.22903516701,207179.892551267,22421.3578384,338401.604139
2017-04,146599.9608239,146059.0902033,186091.71199009998,341285.61958500004,101800.74775410001,74123.5950909,1570396.618366,611653.3562006,1158.7683192999998,182180.605219,-540.8706205999988,23854.735346999998,544140.0785,-4607.030371599999,4382.8976085,885425.698085,170332.115039,379615.1505454,926.24,763253.426937,1417960.6715206,36273.2452769,69516.56471929999,2095.6323227999997,277379.094363,200.21407779999936,125780.16082280001,63402.84810250001,14458.529754799998,6261.462262,158796.483573167,88232.2828808,53882.86895036699,142115.151831167,16681.331741999995,302311.993509
2017-05,183839.9962139,179347.91639799997,217169.158422,371625.490476,119943.12742510001,95570.10401509999,1672370.627048,659941.1383685,-612.6549191999995,204814.029702,-4492.0798159000005,27709.1199385,599006.672,-6159.954727799999,6141.1831329999995,970632.162476,230236.208701,413485.2908524,3698.054813,761742.909004,1572882.3469649001,37811.61973390001,89410.14928730001,2235.4228759999996,417850.8749832,-5323.063969400002,215185.18963379998,61254.7692922,21286.1584218,9852.563404,210400.50740546698,136534.789723,57847.958647567,194382.748370567,16017.759034899995,330077.357294
2017-06,163034.3105759,160287.0285066,195632.6868342,431941.86063999997,123159.25574070003,104968.94248890001,1674274.423997,728289.7473155999,-450.3706929000002,193064.592224,-2747.2820692999994,20623.8408155,554386.417,-3998.3729220999994,5360.055742500001,986328.27764,215236.192649,373786.47252350004,1407.314,618388.723966,1510951.0354192,37162.0419641,100970.5695668,1741.6000213999998,220368.41164619997,-12743.859815999996,192280.24671089998,48763.6725764,19741.704473,3741.487969,204442.746884967,128592.89156409999,55420.904357067004,184013.795921167,20428.950963799987,334843.543551
2017-07,173636.74888658,169160.18051660998,224906.836323,392732.576047,118384.132373,66635.765439,1259612.693221,699406.636891,-512.5907427999998,219671.163625,-4476.5683699699985,28046.434710499998,545466.39,-4306.9220317,5027.293551,938198.966047,202881.236899,383766.40029170003,2281.2369,744260.9056820001,1431770.719234,36006.3085862,62328.843407299995,5327.1604614,322432.77411,408.13619910000125,181753.1503308,60555.193861700005,22143.513894,2202.3510266999997,127267.664949167,66994.68017169999,42702.429678867,109697.109850567,17570.555098599994,307333.850332
2017-08,168398.29041440002,165280.4432373,182516.7918292,344016.58506799996,124194.14280100001,82139.33306989999,1503087.2489064,658902.9789757,-86.46583349999992,194401.122956,-3117.8471770999977,29468.033271500004,542346.819,1945.6153201000025,6042.6595685,886363.4040679999,205785.236225,446729.2179433,3035.581528,768137.79398,1374414.5033726,41147.351216099996,84084.94839,262.6046476,362451.2385318,2935.1071195000004,146743.84044069998,64227.0524608,15964.401516000004,6109.947956,119084.72305906698,47211.1643793,40665.559558766996,87876.72393806699,31207.999120999993,295763.851962
2017-09,171584.9669597,168213.3875686,208484.4747908,373957.42461700004,123535.04285069898,81763.6591432,1200222.407602,628776.4504867999,-1803.9938462000005,160998.36289699998,-3371.579391100002,24802.8848738,505407.4986,-889.9709163000007,4822.8441304,879364.923217,167457.759372,376538.2564732999,379.72,768229.31086,1327698.8333075002,39319.244425900004,80873.68822689999,1845.4336604,320894.0797491,2737.9205570000013,140718.903149,56808.70425599999,22365.0320106,4571.573899499999,129566.25038446698,70466.3755798,33919.223979366994,104385.59955916699,25180.650825299992,278248.35495
2017-10,138872.6041065,135182.8746498,153388.3244171,361462.477136,128386.5485399,81460.069681,1394511.470632,609137.0515052,-2811.7525335,161805.66359,-3689.7294567,25831.9984613,530036.774,-4612.504326599999,5300.0869481,891499.251136,201590.334984,429258.4123128,4633.55,640527.9425812,1446589.0281859997,37569.7871963,76847.56535440001,363.30017410000005,336992.49840640003,6710.3787176999995,160715.4239532,57895.20350710001,24634.852976,2556.723653,76180.39477476699,26621.6068768,22380.857654967003,49002.46453176701,27177.930242999988,298233.467771
2017-11,138103.4068893,135902.5409574,146372.82561539998,369493.479164,104613.890779199,91052.2424533,1099358.990718,636368.1121756,-197.7934008000002,276605.986525,-2200.8659319000017,25926.508403,537037.9282,-5522.9698621,5091.3645480000005,906531.407364,151479.338941,385639.1250627,2893.91,744726.559855,1240942.9216955001,36399.8837601,85529.2725912,835.5650289,259193.62789259996,7834.985888700001,115499.3507887,57104.2484729,17907.636440999995,9169.479186,86065.28856736704,40855.9514929,37375.929735967,78231.881228867,7833.407338500037,312651.05274
